"Geslacht";"Leeftijd";"Vervoerwijzen";"Reismotieven";"Marges";"Perioden";"Ritten per persoon per dag (gemiddeld) (aantal)";"Afgelegde afstand per rit (gemiddeld) (km)";"Reisduur per rit (Minuten)"
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Vrije tijd";"Waarde";"2022*";0,15;23,97;33,38
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Vrije tijd";"Waarde";"2023*";0,16;24,2;32,65
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Overige reismotieven";"Waarde";"1999*";0,07;25,15;28,39
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Overige reismotieven";"Waarde";"2000*";0,06;25,16;28,17
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Overige reismotieven";"Waarde";"2001*";0,06;24,36;27,87
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Overige reismotieven";"Waarde";"2002*";0,06;23,57;27,57
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Overige reismotieven";"Waarde";"2003*";0,06;23,41;27,44
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Overige reismotieven";"Waarde";"2004*";0,06;21,8;27,09
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Overige reismotieven";"Waarde";"2005*";0,06;21,2;26,85
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Overige reismotieven";"Waarde";"2006*";0,06;20,52;26,59
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Overige reismotieven";"Waarde";"2007*";0,06;19,79;26,47
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Overige reismotieven";"Waarde";"2008*";0,06;19,36;26,2
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Overige reismotieven";"Waarde";"2009*";0,06;19,02;26,07
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Overige reismotieven";"Waarde";"2010*";0,06;19,4;26,18
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Overige reismotieven";"Waarde";"2011*";0,05;19,58;25,98
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Overige reismotieven";"Waarde";"2012*";0,05;19,49;25,95
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Overige reismotieven";"Waarde";"2013*";0,05;19,09;25,82
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Overige reismotieven";"Waarde";"2014*";0,05;18,57;25,71
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Overige reismotieven";"Waarde";"2015*";0,05;18,72;25,57
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Overige reismotieven";"Waarde";"2016*";0,04;18,74;25,53
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Overige reismotieven";"Waarde";"2017*";0,04;18,78;25,47
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Overige reismotieven";"Waarde";"2018*";0,04;18,53;25,32
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Overige reismotieven";"Waarde";"2019*";0,05;18,76;25,47
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Overige reismotieven";"Waarde";"2020*";0,04;17,01;23,23
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Overige reismotieven";"Waarde";"2021*";0,04;17,54;24,2
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Overige reismotieven";"Waarde";"2022*";0,04;17,1;24,57
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Overige reismotieven";"Waarde";"2023*";0,04;17,35;24,71
"Totaal mannen en vrouwen";"Totaal";"Trein";"Totaal";"Waarde";"1999*";0,07;51,39;50,84
"Totaal mannen en vrouwen";"Totaal";"Trein";"Totaal";"Waarde";"2000*";0,07;51,29;50,82
"Totaal mannen en vrouwen";"Totaal";"Trein";"Totaal";"Waarde";"2001*";0,07;50,98;50,59
"Totaal mannen en vrouwen";"Totaal";"Trein";"Totaal";"Waarde";"2002*";0,07;50,68;50,5
"Totaal mannen en vrouwen";"Totaal";"Trein";"Totaal";"Waarde";"2003*";0,07;49,93;50,1
"Totaal mannen en vrouwen";"Totaal";"Trein";"Totaal";"Waarde";"2004*";0,07;49,74;50,19
"Totaal mannen en vrouwen";"Totaal";"Trein";"Totaal";"Waarde";"2005*";0,07;49,24;50,03
"Totaal mannen en vrouwen";"Totaal";"Trein";"Totaal";"Waarde";"2006*";0,07;48,81;49,6
"Totaal mannen en vrouwen";"Totaal";"Trein";"Totaal";"Waarde";"2007*";0,07;48,59;49,5
"Totaal mannen en vrouwen";"Totaal";"Trein";"Totaal";"Waarde";"2008*";0,07;48,72;49,4
"Totaal mannen en vrouwen";"Totaal";"Trein";"Totaal";"Waarde";"2009*";0,07;48,81;49,6
"Totaal mannen en vrouwen";"Totaal";"Trein";"Totaal";"Waarde";"2010*";0,07;48,48;49,42
"Totaal mannen en vrouwen";"Totaal";"Trein";"Totaal";"Waarde";"2011*";0,07;48,37;49,49
"Totaal mannen en vrouwen";"Totaal";"Trein";"Totaal";"Waarde";"2012*";0,07;48,33;49,47
"Totaal mannen en vrouwen";"Totaal";"Trein";"Totaal";"Waarde";"2013*";0,07;48,44;49,6
"Totaal mannen en vrouwen";"Totaal";"Trein";"Totaal";"Waarde";"2014*";0,08;48,47;49,73
"Totaal mannen en vrouwen";"Totaal";"Trein";"Totaal";"Waarde";"2015*";0,08;48,27;49,46
"Totaal mannen en vrouwen";"Totaal";"Trein";"Totaal";"Waarde";"2016*";0,08;48,52;49,57
"Totaal mannen en vrouwen";"Totaal";"Trein";"Totaal";"Waarde";"2017*";0,08;48,17;49,25
"Totaal mannen en vrouwen";"Totaal";"Trein";"Totaal";"Waarde";"2018*";0,08;48,11;49,39
"Totaal mannen en vrouwen";"Totaal";"Trein";"Totaal";"Waarde";"2019*";0,08;48,21;49,51
"Totaal mannen en vrouwen";"Totaal";"Trein";"Totaal";"Waarde";"2020*";0,04;46,06;48,31
"Totaal mannen en vrouwen";"Totaal";"Trein";"Totaal";"Waarde";"2021*";0,04;46,46;49,65
"Totaal mannen en vrouwen";"Totaal";"Trein";"Totaal";"Waarde";"2022*";0,05;47,4;50,24
"Totaal mannen en vrouwen";"Totaal";"Trein";"Totaal";"Waarde";"2023*";0,07;47,89;50,51
"Totaal mannen en vrouwen";"Totaal";"Trein";"Van en naar het werk";"Waarde";"1999*";0,02;42,46;42,14
"Totaal mannen en vrouwen";"Totaal";"Trein";"Van en naar het werk";"Waarde";"2000*";0,03;42,26;42,06
"Totaal mannen en vrouwen";"Totaal";"Trein";"Van en naar het werk";"Waarde";"2001*";0,02;42,28;42,02
"Totaal mannen en vrouwen";"Totaal";"Trein";"Van en naar het werk";"Waarde";"2002*";0,02;42,36;42,15
"Totaal mannen en vrouwen";"Totaal";"Trein";"Van en naar het werk";"Waarde";"2003*";0,03;42,04;42,07
"Totaal mannen en vrouwen";"Totaal";"Trein";"Van en naar het werk";"Waarde";"2004*";0,03;42,09;42,25
"Totaal mannen en vrouwen";"Totaal";"Trein";"Van en naar het werk";"Waarde";"2005*";0,03;41,76;42,32
"Totaal mannen en vrouwen";"Totaal";"Trein";"Van en naar het werk";"Waarde";"2006*";0,03;41,49;42
"Totaal mannen en vrouwen";"Totaal";"Trein";"Van en naar het werk";"Waarde";"2007*";0,03;41,37;41,95
"Totaal mannen en vrouwen";"Totaal";"Trein";"Van en naar het werk";"Waarde";"2008*";0,03;41,78;42,23
"Totaal mannen en vrouwen";"Totaal";"Trein";"Van en naar het werk";"Waarde";"2009*";0,03;41,73;42,35
"Totaal mannen en vrouwen";"Totaal";"Trein";"Van en naar het werk";"Waarde";"2010*";0,03;41,59;42,41
"Totaal mannen en vrouwen";"Totaal";"Trein";"Van en naar het werk";"Waarde";"2011*";0,03;41,44;42,33
"Totaal mannen en vrouwen";"Totaal";"Trein";"Van en naar het werk";"Waarde";"2012*";0,03;41,38;42,3
"Totaal mannen en vrouwen";"Totaal";"Trein";"Van en naar het werk";"Waarde";"2013*";0,03;41,32;42,44
"Totaal mannen en vrouwen";"Totaal";"Trein";"Van en naar het werk";"Waarde";"2014*";0,03;41,13;42,32
"Totaal mannen en vrouwen";"Totaal";"Trein";"Van en naar het werk";"Waarde";"2015*";0,03;41,11;42,28
"Totaal mannen en vrouwen";"Totaal";"Trein";"Van en naar het werk";"Waarde";"2016*";0,03;41,27;42,34
"Totaal mannen en vrouwen";"Totaal";"Trein";"Van en naar het werk";"Waarde";"2017*";0,03;40,93;42,25
"Totaal mannen en vrouwen";"Totaal";"Trein";"Van en naar het werk";"Waarde";"2018*";0,03;40,97;42,42
"Totaal mannen en vrouwen";"Totaal";"Trein";"Van en naar het werk";"Waarde";"2019*";0,03;41,01;42,46
"Totaal mannen en vrouwen";"Totaal";"Trein";"Van en naar het werk";"Waarde";"2020*";0,01;38,44;40,79
"Totaal mannen en vrouwen";"Totaal";"Trein";"Van en naar het werk";"Waarde";"2021*";0,01;37,51;40,02
"Totaal mannen en vrouwen";"Totaal";"Trein";"Van en naar het werk";"Waarde";"2022*";0,02;40,13;42,54
"Totaal mannen en vrouwen";"Totaal";"Trein";"Van en naar het werk";"Waarde";"2023*";0,02;41,71;43,74
"Totaal mannen en vrouwen";"Totaal";"Trein";"Winkelen, boodschappen doen";"Waarde";"1999*";0,01;42,64;45,17
"Totaal mannen en vrouwen";"Totaal";"Trein";"Winkelen, boodschappen doen";"Waarde";"2000*";0,01;42,57;45,22
"Totaal mannen en vrouwen";"Totaal";"Trein";"Winkelen, boodschappen doen";"Waarde";"2001*";0,01;42,51;45,23
"Totaal mannen en vrouwen";"Totaal";"Trein";"Winkelen, boodschappen doen";"Waarde";"2002*";0,01;42,71;45,48
"Totaal mannen en vrouwen";"Totaal";"Trein";"Winkelen, boodschappen doen";"Waarde";"2003*";0,01;42,21;45,3
"Totaal mannen en vrouwen";"Totaal";"Trein";"Winkelen, boodschappen doen";"Waarde";"2004*";0,01;42,33;45,67
"Totaal mannen en vrouwen";"Totaal";"Trein";"Winkelen, boodschappen doen";"Waarde";"2005*";0;42,31;45,69
"Totaal mannen en vrouwen";"Totaal";"Trein";"Winkelen, boodschappen doen";"Waarde";"2006*";0,01;42,1;45,64
"Totaal mannen en vrouwen";"Totaal";"Trein";"Winkelen, boodschappen doen";"Waarde";"2007*";0,01;42,14;45,73
"Totaal mannen en vrouwen";"Totaal";"Trein";"Winkelen, boodschappen doen";"Waarde";"2008*";0,01;42,58;46,05
"Totaal mannen en vrouwen";"Totaal";"Trein";"Winkelen, boodschappen doen";"Waarde";"2009*";0;42,21;45,97
"Totaal mannen en vrouwen";"Totaal";"Trein";"Winkelen, boodschappen doen";"Waarde";"2010*";0;42,21;46,31
"Totaal mannen en vrouwen";"Totaal";"Trein";"Winkelen, boodschappen doen";"Waarde";"2011*";0,01;42,26;46,41
"Totaal mannen en vrouwen";"Totaal";"Trein";"Winkelen, boodschappen doen";"Waarde";"2012*";0;42,5;46,49
"Totaal mannen en vrouwen";"Totaal";"Trein";"Winkelen, boodschappen doen";"Waarde";"2013*";0;42,46;46,48
"Totaal mannen en vrouwen";"Totaal";"Trein";"Winkelen, boodschappen doen";"Waarde";"2014*";0;42,42;46,49
"Totaal mannen en vrouwen";"Totaal";"Trein";"Winkelen, boodschappen doen";"Waarde";"2015*";0;42,35;46,38
"Totaal mannen en vrouwen";"Totaal";"Trein";"Winkelen, boodschappen doen";"Waarde";"2016*";0;42,67;46,71
"Totaal mannen en vrouwen";"Totaal";"Trein";"Winkelen, boodschappen doen";"Waarde";"2017*";0;42,39;46,62
"Totaal mannen en vrouwen";"Totaal";"Trein";"Winkelen, boodschappen doen";"Waarde";"2018*";0;42,39;46,93
"Totaal mannen en vrouwen";"Totaal";"Trein";"Winkelen, boodschappen doen";"Waarde";"2019*";0;42,25;46,89
"Totaal mannen en vrouwen";"Totaal";"Trein";"Winkelen, boodschappen doen";"Waarde";"2020*";0;38,67;43,51
"Totaal mannen en vrouwen";"Totaal";"Trein";"Winkelen, boodschappen doen";"Waarde";"2021*";0;37,76;43,5
"Totaal mannen en vrouwen";"Totaal";"Trein";"Winkelen, boodschappen doen";"Waarde";"2022*";0;40,03;45,58
"Totaal mannen en vrouwen";"Totaal";"Trein";"Winkelen, boodschappen doen";"Waarde";"2023*";0;40,96;46,71
"Totaal mannen en vrouwen";"Totaal";"Trein";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"1999*";0,01;38,37;40,22
"Totaal mannen en vrouwen";"Totaal";"Trein";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2000*";0,01;38,42;40,36
"Totaal mannen en vrouwen";"Totaal";"Trein";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2001*";0,01;38,48;40,41
"Totaal mannen en vrouwen";"Totaal";"Trein";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2002*";0,01;38,47;40,64
"Totaal mannen en vrouwen";"Totaal";"Trein";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2003*";0,01;38,38;40,66
"Totaal mannen en vrouwen";"Totaal";"Trein";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2004*";0,01;38,68;41
"Totaal mannen en vrouwen";"Totaal";"Trein";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2005*";0,01;38,32;41
"Totaal mannen en vrouwen";"Totaal";"Trein";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2006*";0,01;38,27;41,06
"Totaal mannen en vrouwen";"Totaal";"Trein";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2007*";0,01;38,41;41,2
"Totaal mannen en vrouwen";"Totaal";"Trein";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2008*";0,01;38,61;41,39
"Totaal mannen en vrouwen";"Totaal";"Trein";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2009*";0,01;38,79;41,65
"Totaal mannen en vrouwen";"Totaal";"Trein";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2010*";0,01;38,62;41,49
"Totaal mannen en vrouwen";"Totaal";"Trein";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2011*";0,01;38,74;41,83
"Totaal mannen en vrouwen";"Totaal";"Trein";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2012*";0,01;38,97;42,03
"Totaal mannen en vrouwen";"Totaal";"Trein";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2013*";0,01;38,79;41,75
"Totaal mannen en vrouwen";"Totaal";"Trein";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2014*";0,01;38,86;41,89
"Totaal mannen en vrouwen";"Totaal";"Trein";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2015*";0,02;38,97;41,83
"Totaal mannen en vrouwen";"Totaal";"Trein";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2016*";0,02;38,94;41,77
"Totaal mannen en vrouwen";"Totaal";"Trein";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2017*";0,02;38,76;41,56
"Totaal mannen en vrouwen";"Totaal";"Trein";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2018*";0,02;39,12;41,79
"Totaal mannen en vrouwen";"Totaal";"Trein";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2019*";0,02;39,06;41,63
"Totaal mannen en vrouwen";"Totaal";"Trein";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2020*";0,01;36,52;40,29
"Totaal mannen en vrouwen";"Totaal";"Trein";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2021*";0,01;34,76;39,1
"Totaal mannen en vrouwen";"Totaal";"Trein";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2022*";0,01;36,71;40,98
"Totaal mannen en vrouwen";"Totaal";"Trein";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2023*";0,01;37,89;42,28
"Totaal mannen en vrouwen";"Totaal";"Trein";"Vrije tijd";"Waarde";"1999*";0,02;66,83;68,11
"Totaal mannen en vrouwen";"Totaal";"Trein";"Vrije tijd";"Waarde";"2000*";0,02;66,66;67,71
"Totaal mannen en vrouwen";"Totaal";"Trein";"Vrije tijd";"Waarde";"2001*";0,02;66,35;67,45
"Totaal mannen en vrouwen";"Totaal";"Trein";"Vrije tijd";"Waarde";"2002*";0,02;66,17;67,23
"Totaal mannen en vrouwen";"Totaal";"Trein";"Vrije tijd";"Waarde";"2003*";0,02;65,61;66,86
"Totaal mannen en vrouwen";"Totaal";"Trein";"Vrije tijd";"Waarde";"2004*";0,02;65,44;67,11
"Totaal mannen en vrouwen";"Totaal";"Trein";"Vrije tijd";"Waarde";"2005*";0,01;64,93;66,74
"Totaal mannen en vrouwen";"Totaal";"Trein";"Vrije tijd";"Waarde";"2006*";0,02;64,65;66,12
"Totaal mannen en vrouwen";"Totaal";"Trein";"Vrije tijd";"Waarde";"2007*";0,02;64,27;65,9
"Totaal mannen en vrouwen";"Totaal";"Trein";"Vrije tijd";"Waarde";"2008*";0,01;64,7;65,65
"Totaal mannen en vrouwen";"Totaal";"Trein";"Vrije tijd";"Waarde";"2009*";0,02;64,86;65,79
"Totaal mannen en vrouwen";"Totaal";"Trein";"Vrije tijd";"Waarde";"2010*";0,02;64,56;65,52
"Totaal mannen en vrouwen";"Totaal";"Trein";"Vrije tijd";"Waarde";"2011*";0,02;64,14;65,36
"Totaal mannen en vrouwen";"Totaal";"Trein";"Vrije tijd";"Waarde";"2012*";0,02;63,91;65,12
"Totaal mannen en vrouwen";"Totaal";"Trein";"Vrije tijd";"Waarde";"2013*";0,02;64,24;65,27
"Totaal mannen en vrouwen";"Totaal";"Trein";"Vrije tijd";"Waarde";"2014*";0,02;64,03;65,23
"Totaal mannen en vrouwen";"Totaal";"Trein";"Vrije tijd";"Waarde";"2015*";0,02;63,64;64,5
"Totaal mannen en vrouwen";"Totaal";"Trein";"Vrije tijd";"Waarde";"2016*";0,02;64,03;64,61
"Totaal mannen en vrouwen";"Totaal";"Trein";"Vrije tijd";"Waarde";"2017*";0,02;63,88;64,1
"Totaal mannen en vrouwen";"Totaal";"Trein";"Vrije tijd";"Waarde";"2018*";0,02;62,98;63,8
"Totaal mannen en vrouwen";"Totaal";"Trein";"Vrije tijd";"Waarde";"2019*";0,02;63,31;64,06
"Totaal mannen en vrouwen";"Totaal";"Trein";"Vrije tijd";"Waarde";"2020*";0,01;62,14;63,88
"Totaal mannen en vrouwen";"Totaal";"Trein";"Vrije tijd";"Waarde";"2021*";0,01;61,6;65,39
"Totaal mannen en vrouwen";"Totaal";"Trein";"Vrije tijd";"Waarde";"2022*";0,02;60,8;63,67
"Totaal mannen en vrouwen";"Totaal";"Trein";"Vrije tijd";"Waarde";"2023*";0,02;59,98;62,43
"Totaal mannen en vrouwen";"Totaal";"Trein";"Overige reismotieven";"Waarde";"1999*";0,01;67,94;60,15
"Totaal mannen en vrouwen";"Totaal";"Trein";"Overige reismotieven";"Waarde";"2000*";0,01;67,55;60,18
"Totaal mannen en vrouwen";"Totaal";"Trein";"Overige reismotieven";"Waarde";"2001*";0,01;66,94;59,89
"Totaal mannen en vrouwen";"Totaal";"Trein";"Overige reismotieven";"Waarde";"2002*";0,01;65,8;59,7
"Totaal mannen en vrouwen";"Totaal";"Trein";"Overige reismotieven";"Waarde";"2003*";0,01;64,97;59,53
"Totaal mannen en vrouwen";"Totaal";"Trein";"Overige reismotieven";"Waarde";"2004*";0,01;64,14;59,31
"Totaal mannen en vrouwen";"Totaal";"Trein";"Overige reismotieven";"Waarde";"2005*";0,01;63,48;59,27
"Totaal mannen en vrouwen";"Totaal";"Trein";"Overige reismotieven";"Waarde";"2006*";0,01;62,63;58,83
"Totaal mannen en vrouwen";"Totaal";"Trein";"Overige reismotieven";"Waarde";"2007*";0,01;62,44;58,81
"Totaal mannen en vrouwen";"Totaal";"Trein";"Overige reismotieven";"Waarde";"2008*";0,01;62,73;58,83
"Totaal mannen en vrouwen";"Totaal";"Trein";"Overige reismotieven";"Waarde";"2009*";0,01;62,47;58,83
"Totaal mannen en vrouwen";"Totaal";"Trein";"Overige reismotieven";"Waarde";"2010*";0,01;62,48;59,01
"Totaal mannen en vrouwen";"Totaal";"Trein";"Overige reismotieven";"Waarde";"2011*";0,01;61,98;58,72
"Totaal mannen en vrouwen";"Totaal";"Trein";"Overige reismotieven";"Waarde";"2012*";0,01;61,68;58,49
"Totaal mannen en vrouwen";"Totaal";"Trein";"Overige reismotieven";"Waarde";"2013*";0,01;62,13;58,8
"Totaal mannen en vrouwen";"Totaal";"Trein";"Overige reismotieven";"Waarde";"2014*";0,01;62,02;58,47
"Totaal mannen en vrouwen";"Totaal";"Trein";"Overige reismotieven";"Waarde";"2015*";0,01;61,53;58,49
"Totaal mannen en vrouwen";"Totaal";"Trein";"Overige reismotieven";"Waarde";"2016*";0,01;61,5;58,12
"Totaal mannen en vrouwen";"Totaal";"Trein";"Overige reismotieven";"Waarde";"2017*";0,01;61,37;57,99
"Totaal mannen en vrouwen";"Totaal";"Trein";"Overige reismotieven";"Waarde";"2018*";0,01;61,18;57,88
"Totaal mannen en vrouwen";"Totaal";"Trein";"Overige reismotieven";"Waarde";"2019*";0,01;60,88;57,88
"Totaal mannen en vrouwen";"Totaal";"Trein";"Overige reismotieven";"Waarde";"2020*";0;55,68;53,95
"Totaal mannen en vrouwen";"Totaal";"Trein";"Overige reismotieven";"Waarde";"2021*";0;54,07;53,44
"Totaal mannen en vrouwen";"Totaal";"Trein";"Overige reismotieven";"Waarde";"2022*";0,01;55,75;55,24
"Totaal mannen en vrouwen";"Totaal";"Trein";"Overige reismotieven";"Waarde";"2023*";0,01;56,33;56,12
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Totaal";"Waarde";"1999*";0,16;11,99;27,45
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Totaal";"Waarde";"2000*";0,15;12,01;27,37
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Totaal";"Waarde";"2001*";0,15;11,87;27,15
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Totaal";"Waarde";"2002*";0,14;11,66;27,12
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Totaal";"Waarde";"2003*";0,14;11,35;27,13
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Totaal";"Waarde";"2004*";0,14;11,23;27,12
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Totaal";"Waarde";"2005*";0,13;10,83;27,11
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Totaal";"Waarde";"2006*";0,13;10,23;26,87
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Totaal";"Waarde";"2007*";0,13;10,1;26,9
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Totaal";"Waarde";"2008*";0,13;9,99;26,75
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Totaal";"Waarde";"2009*";0,13;10,09;26,79
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Totaal";"Waarde";"2010*";0,13;9,73;26,71
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Totaal";"Waarde";"2011*";0,13;9,64;26,71
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Totaal";"Waarde";"2012*";0,12;9,43;26,61
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Totaal";"Waarde";"2013*";0,12;9,24;26,49
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Totaal";"Waarde";"2014*";0,12;9,37;26,59
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Totaal";"Waarde";"2015*";0,12;9,14;26,43
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Totaal";"Waarde";"2016*";0,12;9,02;26,31
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Totaal";"Waarde";"2017*";0,12;8,87;26,15
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Totaal";"Waarde";"2018*";0,12;8,62;26,13
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Totaal";"Waarde";"2019*";0,12;8,53;26,06
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Totaal";"Waarde";"2020*";0,06;8,14;25,79
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Totaal";"Waarde";"2021*";0,06;8,72;28,13
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Totaal";"Waarde";"2022*";0,08;8,7;27,65
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Totaal";"Waarde";"2023*";0,1;8,48;27,24
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Van en naar het werk";"Waarde";"1999*";0,04;12,21;25,63
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Van en naar het werk";"Waarde";"2000*";0,04;11,92;25,51
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Van en naar het werk";"Waarde";"2001*";0,04;11,85;25,38
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Van en naar het werk";"Waarde";"2002*";0,04;11,7;25,34
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Van en naar het werk";"Waarde";"2003*";0,04;11,31;25,35
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Van en naar het werk";"Waarde";"2004*";0,04;11,35;25,41
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Van en naar het werk";"Waarde";"2005*";0,04;11;25,55
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Van en naar het werk";"Waarde";"2006*";0,04;10,37;25,3
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Van en naar het werk";"Waarde";"2007*";0,04;10,2;25,36
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Van en naar het werk";"Waarde";"2008*";0,04;9,91;25,2
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Van en naar het werk";"Waarde";"2009*";0,04;10,08;25,23
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Van en naar het werk";"Waarde";"2010*";0,04;9,73;25,19
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Van en naar het werk";"Waarde";"2011*";0,04;9,66;25,18
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Van en naar het werk";"Waarde";"2012*";0,04;9,42;24,96
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Van en naar het werk";"Waarde";"2013*";0,04;9,06;24,86
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Van en naar het werk";"Waarde";"2014*";0,04;9,35;24,95
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Van en naar het werk";"Waarde";"2015*";0,04;9,07;24,86
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Van en naar het werk";"Waarde";"2016*";0,04;9,06;24,8
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Van en naar het werk";"Waarde";"2017*";0,04;8,65;24,71
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Van en naar het werk";"Waarde";"2018*";0,04;8,54;24,68
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Van en naar het werk";"Waarde";"2019*";0,04;8,42;24,49
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Van en naar het werk";"Waarde";"2020*";0,02;7,93;24,08
"Totaal mannen en vrouwen";"Totaal";"Bus/tram/metro";"Van en naar het werk";"Waarde";"2021*";0,02;8,63;25,68
